padding token id: 0
bos token id: 1
eos token id: 2
vocab size: 128000
Dataset size: 1196218
Dataset is shuffled...
Dataset is splitted...
Total labels:  1423635
Total labels:  165248
{'loss': 23.9748, 'grad_norm': 15.436415672302246, 'learning_rate': 8.916629514043693e-08, 'epoch': 0.0}
{'loss': 23.3111, 'grad_norm': 21.331613540649414, 'learning_rate': 1.7833259028087386e-07, 'epoch': 0.0}
{'loss': 23.5883, 'grad_norm': 28.691024780273438, 'learning_rate': 2.6749888542131076e-07, 'epoch': 0.0}
{'loss': 23.8611, 'grad_norm': 16.827489852905273, 'learning_rate': 3.566651805617477e-07, 'epoch': 0.0}
{'loss': 25.4089, 'grad_norm': 28.485950469970703, 'learning_rate': 4.458314757021846e-07, 'epoch': 0.0}
{'loss': 23.7631, 'grad_norm': 11.712589263916016, 'learning_rate': 5.349977708426215e-07, 'epoch': 0.0}
{'loss': 20.0928, 'grad_norm': 15.938709259033203, 'learning_rate': 6.241640659830585e-07, 'epoch': 0.0}
{'loss': 23.7768, 'grad_norm': 10.167867660522461, 'learning_rate': 7.133303611234954e-07, 'epoch': 0.01}
{'loss': 21.2171, 'grad_norm': 7.417351245880127, 'learning_rate': 8.024966562639324e-07, 'epoch': 0.01}
{'loss': 22.2788, 'grad_norm': 8.89840316772461, 'learning_rate': 8.916629514043692e-07, 'epoch': 0.01}
{'loss': 21.4476, 'grad_norm': 31.00255012512207, 'learning_rate': 9.80829246544806e-07, 'epoch': 0.01}
{'loss': 19.9831, 'grad_norm': 10.20348834991455, 'learning_rate': 1.069995541685243e-06, 'epoch': 0.01}
{'loss': 18.6502, 'grad_norm': 9.183096885681152, 'learning_rate': 1.15916183682568e-06, 'epoch': 0.01}
{'loss': 18.5038, 'grad_norm': 8.4221773147583, 'learning_rate': 1.248328131966117e-06, 'epoch': 0.01}
{'loss': 18.6823, 'grad_norm': 7.4918670654296875, 'learning_rate': 1.3374944271065537e-06, 'epoch': 0.01}
{'loss': 17.4455, 'grad_norm': 8.528263092041016, 'learning_rate': 1.4266607222469909e-06, 'epoch': 0.01}
{'loss': 18.9018, 'grad_norm': 7.226088523864746, 'learning_rate': 1.5158270173874276e-06, 'epoch': 0.01}
{'loss': 16.7536, 'grad_norm': 7.901125907897949, 'learning_rate': 1.6049933125278648e-06, 'epoch': 0.01}
{'loss': 17.4784, 'grad_norm': 8.959297180175781, 'learning_rate': 1.6941596076683015e-06, 'epoch': 0.01}
{'loss': 16.6021, 'grad_norm': 7.1509528160095215, 'learning_rate': 1.7833259028087385e-06, 'epoch': 0.01}
